date,seen,type_client
02/04/2022 13:45:30,1,nouveau_client
02/04/2022 14:02:30,1,nouveau_client
05/04/2022 12:15:04,1,nouveau_client
10/04/2022 01:07:45,1,nouveau_client
16/04/2022 00:52:10,1,nouveau_client
16/04/2022 00:53:02,1,nouveau_client
16/04/2022 01:27:42,1,nouveau_client
16/04/2022 01:28:06,1,nouveau_client
16/04/2022 01:28:49,1,nouveau_client
16/04/2022 01:29:12,1,nouveau_client
2022-04-17 23:48:41.298330,2,client
2022-04-17 23:58:01.014217,2,client
2022-04-17 23:59:48.486555,2,client
2022-04-18 00:00:32.227203,2,client
2022-04-18 00:03:23.724927,2,client
2022-04-18 00:04:08.886012,2,client
2022-04-18 00:10:05.917235,3,client
2022-04-18 00:10:36.825695,3,client
2022-04-18 00:14:13.229146,3,client
2022-04-18 00:27:30.175192,4,client
2022-04-18 00:27:50.078574,4,client
2022-04-18 00:29:32.757091,4,client
2022-04-18 00:30:15.813561,2,client
2022-04-18 00:31:20.263237,2,client
2022-04-18 00:49:16.579397,2,client
2022-04-18 00:56:54.012262,3,client
2022-04-18 00:58:42.028957,4,client
2022-04-18 00:58:59.730291,4,client
2022-04-18 00:59:39.102912,4,client
2022-04-18 01:00:46.907710,5,client
2022-04-18 01:03:06.920806,5,client
2022-04-18 01:04:54.408296,4,client
2022-05-05 15:33:54.360223,4,client
2022-05-05 19:29:58.960700,4,client
2022-05-05 21:21:42.089004,4,client
2022-05-05 21:24:29.933011,2,client
2022-05-05 21:36:37.413923,4,client
2022-05-05 21:37:08.870460,4,client
2022-05-06 00:24:18.800132,4,client
2022-05-06 00:24:39.220633,4,client
2022-05-06 00:28:49.421754,4,client
2022-05-06 00:29:48.152299,4,client
2022-05-06 00:30:09.076679,4,client
2022-05-06 00:35:55.371727,4,client
2022-05-06 00:37:48.874851,4,client
2022-05-06 00:38:43.956906,4,client
